t_ms,soma_v_mV
4.999999999999937828e+00,-6.782863716662298259e+01
5.019999999999937401e+00,-6.782866266863291571e+01
5.039999999999936975e+00,-6.782868855019471255e+01
5.059999999999936549e+00,-6.782871480618651105e+01
5.079999999999936122e+00,-6.782874143156004720e+01
5.099999999999935696e+00,-6.782876842133933337e+01
5.119999999999935270e+00,-6.782879577061933674e+01
5.139999999999934843e+00,-6.782882347456478556e+01
5.159999999999934417e+00,-6.782885152840890441e+01
5.179999999999933991e+00,-6.782887992745227734e+01
5.199999999999933564e+00,-6.782890866706165411e+01
5.219999999999933138e+00,-6.782893774266881337e+01
5.239999999999932712e+00,-6.782896714976941155e+01
5.259999999999932285e+00,-6.782899688392191706e+01
5.279999999999931859e+00,-6.782902694074654448e+01
5.299999999999931433e+00,-6.782905731592416032e+01
5.319999999999931006e+00,-6.782908800519528825e+01
5.339999999999930580e+00,-6.782911900435907171e+01
5.359999999999930154e+00,-6.782915030927229338e+01
5.379999999999929727e+00,-6.782918191584839462e+01
5.399999999999929301e+00,-6.782921382005648070e+01
5.419999999999928875e+00,-6.782924601792036867e+01
5.439999999999928448e+00,-6.782927850551762106e+01
5.459999999999928022e+00,-6.782931127897867896e+01
5.479999999999927596e+00,-6.782934433448586731e+01
5.499999999999927169e+00,-6.782937766827257065e+01
5.519999999999926743e+00,-6.782941127662229519e+01
5.539999999999926317e+00,-6.782944515586785883e+01
5.559999999999925890e+00,-6.782947930239051004e+01
5.579999999999925464e+00,-6.782951371261918894e+01
5.599999999999925038e+00,-6.782954838302968881e+01
5.619999999999924611e+00,-6.782958331014395981e+01
5.639999999999924185e+00,-6.782961849052931314e+01
5.659999999999923759e+00,-6.782965392079779576e+01
5.679999999999923332e+00,-6.782968959760542305e+01
5.699999999999922906e+00,-6.782972551765152502e+01
5.719999999999922480e+00,-6.782976167767809272e+01
5.739999999999922053e+00,-6.782979807446908183e+01
5.759999999999921627e+00,-6.782983470484980160e+01
5.779999999999921201e+00,-6.782987156568626119e+01
5.799999999999920774e+00,-6.782990865388455859e+01
5.819999999999920348e+00,-6.782994596639024110e+01
5.839999999999919922e+00,-6.782998350018772271e+01
5.859999999999919496e+00,-6.783002125229963042e+01
5.879999999999919069e+00,-6.783005921978626418e+01
5.899999999999918643e+00,-6.783009739974498586e+01
5.919999999999918217e+00,-6.783013578930967924e+01
5.939999999999917790e+00,-6.783017438565011048e+01
5.959999999999917364e+00,-6.783021318597141658e+01
5.979999999999916938e+00,-6.783025218751345164e+01
5.999999999999916511e+00,-6.783029138755028953e+01
6.019999999999916085e+00,-6.783033078338965538e+01
6.039999999999915659e+00,-6.783037037237239986e+01
6.059999999999915232e+00,-6.783041015187198752e+01
6.079999999999914806e+00,-6.783045011929402790e+01
6.099999999999914380e+00,-6.783049027207579229e+01
6.119999999999913953e+00,-6.783053060768574483e+01
6.139999999999913527e+00,-6.783057112362310193e+01
6.159999999999913101e+00,-6.783061181741733492e+01
6.179999999999912674e+00,-6.783065268662777214e+01
