spine_x,spine_y,spine_z,grid_x,grid_y,grid_z,dx,dy,dz,distance_um
2.348374986648559570e+01,9.684749126434326172e+00,1.159949707984924316e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.067480120658874299e+01,-2.923380851745491782e-01,-6.622500419616699219e-01,9.246958732605001785e-01,1.174350515028096176e+00
2.357444982528686594e+01,9.775449085235596414e+00,1.123649706840515172e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.067480120658874299e+01,-2.016381263732789364e-01,-5.715500831603996801e-01,5.616958618164087369e-01,8.263350850288666560e-01
2.366514978408813619e+01,9.866149044036864879e+00,1.087349705696106028e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.067480120658874299e+01,-1.109381675720086946e-01,-4.808501243591312146e-01,1.986958503723172953e-01,5.319813531277250984e-01
2.375584974288940288e+01,9.956849002838135121e+00,1.051049704551696706e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.067480120658874299e+01,-2.023820877074200553e-02,-3.901501655578609729e-01,-1.643041610717759227e-01,4.238190582366188619e-01
2.384654970169067312e+01,1.004754896163940359e+01,1.014749703407287562e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.067480120658874299e+01,7.046175003052823627e-02,-2.994502067565925074e-01,-5.273041725158673643e-01,6.104792993186372030e-01
2.393724966049194336e+01,1.013824892044067383e+01,9.784497022628784180e+00,2.377608795166014488e+01,1.034699916839599609e+01,1.067480120658874299e+01,1.611617088317984781e-01,-2.087502479553222656e-01,-8.903041839599588059e-01,9.285425689711818142e-01
2.402794961929321360e+01,1.022894887924194407e+01,9.421497011184690962e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,2.518616676330687199e-01,-1.180502891540520238e-01,7.466958045959479762e-01,7.968216833102973462e-01
2.411864957809448384e+01,1.031964883804321254e+01,9.058496999740599520e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,3.425616264343389616e-01,-2.735033035278355840e-02,3.836957931518565346e-01,5.150912250836527928e-01
2.402509956359863352e+01,1.036499881744384766e+01,8.793647003173827414e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,2.490116119384886417e-01,1.799964904785156250e-02,1.188457965850844289e-01,2.765051421076895055e-01
2.374729957580566264e+01,1.036499881744384766e+01,8.626947021484374645e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,-2.878837585448223990e-02,1.799964904785156250e-02,-4.785418510436834083e-02,5.867521608130564503e-02
2.346949958801269531e+01,1.036499881744384766e+01,8.460247039794921875e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,-3.065883636474495688e-01,1.799964904785156250e-02,-2.145541667938211106e-01,3.746383623956006659e-01
2.319169960021972798e+01,1.036499881744384766e+01,8.293547058105469105e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,-5.843883514404168977e-01,1.799964904785156250e-02,-3.812541484832738803e-01,6.979888669604983331e-01
2.291389961242675710e+01,1.036499881744384766e+01,8.126847076416016336e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,-8.621883392333877794e-01,1.799964904785156250e-02,-5.479541301727266500e-01,1.021736976158356791e+00
2.263609962463378977e+01,1.036499881744384766e+01,7.960147094726561789e+00,2.177608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,8.600116729736448917e-01,1.799964904785156250e-02,-7.146541118621811961e-01,1.118335622529433859e+00
2.235829963684081889e+01,1.036499881744384766e+01,7.793447113037109020e+00,2.177608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,5.822116851806740101e-01,1.799964904785156250e-02,-8.813540935516339658e-01,1.056446625223909974e+00
2.208049964904785156e+01,1.036499881744384766e+01,7.626747131347656250e+00,2.177608795166014488e+01,1.034699916839599609e+01,6.674801206588742986e+00,3.044116973877066812e-01,1.799964904785156250e-02,9.519459247589132644e-01,9.995956745291634249e-01
2.180269966125488423e+01,1.036499881744384766e+01,7.460047149658202592e+00,2.177608795166014488e+01,1.034699916839599609e+01,6.674801206588742986e+00,2.661170959473935227e-02,1.799964904785156250e-02,7.852459430694596065e-01,7.859028957577682828e-01
2.152489967346191335e+01,1.036499881744384766e+01,7.293347167968749822e+00,2.177608795166014488e+01,1.034699916839599609e+01,6.674801206588742986e+00,-2.511882781982315294e-01,1.799964904785156250e-02,6.185459613800068368e-01,6.678462733365777559e-01
2.416399955749511719e+01,1.036499881744384766e+01,8.674496984481811168e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,-3.042221069318173932e-04,3.883291050879434936e-01
2.416399955749511719e+01,1.036499881744384766e+01,8.269496965408325906e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,-4.053042411804170797e-01,5.613117932362960971e-01
2.416399955749511719e+01,1.036499881744384766e+01,7.864496946334838867e+00,2.377608795166014488e+01,1.034699916839599609e+01,8.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,-8.103042602539041184e-01,8.985501630365104742e-01
2.416399955749511719e+01,1.036499881744384766e+01,7.459496927261352717e+00,2.377608795166014488e+01,1.034699916839599609e+01,6.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,7.846957206726097311e-01,8.755265703273767963e-01
2.416399955749511719e+01,1.036499881744384766e+01,7.054496908187865678e+00,2.377608795166014488e+01,1.034699916839599609e+01,6.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,3.796957015991226925e-01,5.431097744656808723e-01
2.416399955749511719e+01,1.036499881744384766e+01,6.649496889114379528e+00,2.377608795166014488e+01,1.034699916839599609e+01,6.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,-2.530431747436345802e-02,3.891525533645592283e-01
2.416399955749511719e+01,1.036499881744384766e+01,6.244496870040892489e+00,2.377608795166014488e+01,1.034699916839599609e+01,6.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,-4.303043365478504967e-01,5.796216208520853508e-01
2.416399955749511719e+01,1.036499881744384766e+01,5.839496850967406338e+00,2.377608795166014488e+01,1.034699916839599609e+01,6.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,-8.353043556213366472e-01,9.211583836818124649e-01
2.416399955749511719e+01,1.036499881744384766e+01,5.434496831893920188e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,7.596956253051772023e-01,8.531921497617854788e-01
2.416399955749511719e+01,1.036499881744384766e+01,5.029496812820434037e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,3.879116058349723062e-01,1.799964904785156250e-02,3.546956062316910518e-01,5.259357131697557364e-01
2.336354951858520579e+01,1.036499881744384766e+01,4.346696805953979670e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,-4.125384330749390926e-01,1.799964904785156250e-02,-3.281044006347633157e-01,5.274129727696020842e-01
2.176264944076537944e+01,1.036499881744384766e+01,3.386096811294555309e+00,2.177608795166014488e+01,1.034699916839599609e+01,2.674801206588742986e+00,-1.343851089476544303e-02,1.799964904785156250e-02,7.112956047058123232e-01,7.116502077669349946e-01
2.016174936294555664e+01,1.036499881744384766e+01,2.425496816635131392e+00,1.977608795166014488e+01,1.034699916839599609e+01,2.674801206588742986e+00,3.856614112854117593e-01,1.799964904785156250e-02,-2.493043899536115937e-01,4.595774041123473208e-01
1.856084928512573384e+01,1.036499881744384766e+01,1.464896821975707475e+00,1.777608795166014488e+01,1.034699916839599609e+01,6.748012065887429856e-01,7.847613334655889616e-01,1.799964904785156250e-02,7.900956153869644893e-01,1.113743875099765246e+00
1.695994920730590749e+01,1.036499881744384766e+01,5.042968273162831139e-01,1.777608795166014488e+01,1.034699916839599609e+01,6.748012065887429856e-01,-8.161387443542373887e-01,1.799964904785156250e-02,-1.705043792724598717e-01,8.339533444702070808e-01
1.535904912948608114e+01,1.036499881744384766e+01,-4.563031673431412472e-01,1.577608795166014488e+01,1.034699916839599609e+01,-1.325198793411257014e+00,-4.170388221740637391e-01,1.799964904785156250e-02,8.688956260681157673e-01,9.639631608969706500e-01
1.375814905166625834e+01,1.036499881744384766e+01,-1.416903162002564720e+00,1.377608795166014488e+01,1.034699916839599609e+01,-1.325198793411257014e+00,-1.793889999388653678e-02,1.799964904785156250e-02,-9.170436859130770557e-02,9.516030011284594414e-02
1.215724897384643199e+01,1.036499881744384766e+01,-2.377503156661989081e+00,1.177608795166014488e+01,1.034699916839599609e+01,-3.325198793411257014e+00,3.811610221862871128e-01,1.799964904785156250e-02,9.476956367492679334e-01,1.021633364820051959e+00
1.055634889602660742e+01,1.036499881744384766e+01,-3.338103151321412554e+00,9.776087951660144881e+00,1.034699916839599609e+01,-3.325198793411257014e+00,7.802609443664625388e-01,1.799964904785156250e-02,-1.290435791015553946e-02,7.805752052957890541e-01
8.955448818206786399e+00,1.036499881744384766e+01,-4.298703145980836027e+00,9.776087951660144881e+00,1.034699916839599609e+01,-3.325198793411257014e+00,-8.206391334533584825e-01,1.799964904785156250e-02,-9.735043525695790123e-01,1.273374767769818838e+00
2.416399955749511719e+01,1.030954880714416433e+01,4.743796801567077281e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,3.879116058349723062e-01,-3.745036125183176523e-02,6.899559497833429589e-02,3.957756127223782672e-01
2.416399955749511719e+01,1.019864878654479945e+01,4.577396798133849920e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,3.879116058349723062e-01,-1.483503818511966443e-01,-9.740440845489306554e-02,4.265804361703785519e-01
2.416399955749511719e+01,1.008774876594543457e+01,4.410996794700622559e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,3.879116058349723062e-01,-2.592504024505615234e-01,-2.638044118881204270e-01,5.359840975662264473e-01
2.416399955749511719e+01,9.976848745346069691e+00,4.244596791267395197e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,3.879116058349723062e-01,-3.701504230499264025e-01,-4.302044153213477884e-01,6.874318792342184459e-01
2.416399955749511719e+01,9.865948724746704812e+00,4.078196787834167836e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,3.879116058349723062e-01,-4.810504436492912816e-01,-5.966044187545751498e-01,8.589655265225324410e-01
2.416399955749511719e+01,9.755048704147338157e+00,3.911796784400939586e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,3.879116058349723062e-01,-5.919504642486579371e-01,-7.630044221878033994e-01,1.040700011695883775e+00
2.416399955749511719e+01,9.644148683547973278e+00,3.745396780967712225e+00,2.377608795166014488e+01,1.034699916839599609e+01,4.674801206588742986e+00,3.879116058349723062e-01,-7.028504848480228162e-01,-9.294044256210307609e-01,1.228115142955466421e+00
2.416399955749511719e+01,9.533248662948608398e+00,3.578996777534484419e+00,2.377608795166014488e+01,1.034699916839599609e+01,2.674801206588742986e+00,3.879116058349723062e-01,-8.137505054473876953e-01,9.041955709457414336e-01,1.276806535687862620e+00
2.416399955749511719e+01,9.422348642349243519e+00,3.412596774101257058e+00,2.377608795166014488e+01,1.034699916839599609e+01,2.674801206588742986e+00,3.879116058349723062e-01,-9.246505260467525744e-01,7.377955675125140722e-01,1.244908152716944771e+00
2.416399955749511719e+01,9.311448621749878640e+00,3.246196770668029252e+00,2.377608795166014488e+01,8.346999168395996094e+00,2.674801206588742986e+00,3.879116058349723062e-01,9.644494533538825465e-01,5.713955640792862667e-01,1.186225548816731479e+00
2.405269956588745117e+01,9.283798599243164418e+00,3.107346773147583008e+00,2.377608795166014488e+01,8.346999168395996094e+00,2.674801206588742986e+00,2.766116142273062906e-01,9.367994308471683240e-01,4.325455665588400223e-01,1.068270951543063507e+00
2.383009958267211914e+01,9.339398574829100852e+00,2.996046781539916992e+00,2.377608795166014488e+01,8.346999168395996094e+00,2.674801206588742986e+00,5.401163101197425931e-02,9.923994064331047582e-01,3.212455749511740066e-01,1.044496317657014339e+00
2.360749959945678711e+01,9.394998550415039062e+00,2.884746789932250977e+00,2.377608795166014488e+01,1.034699916839599609e+01,2.674801206588742986e+00,-1.685883522033577719e-01,-9.520006179809570312e-01,2.099455833435079910e-01,9.893454184966004039e-01
2.338489961624145508e+01,9.450598526000977273e+00,2.773446798324584961e+00,2.377608795166014488e+01,1.034699916839599609e+01,2.674801206588742986e+00,-3.911883354186898032e-01,-8.964006423950188207e-01,9.864559173584197538e-02,9.830022269673462931e-01
